date,instrument,adjusted_close,currency
2026-08-31,DEMO-ALPHA,100.00,CHF
2026-08-31,DEMO-BETA,80.00,CHF
2026-08-31,DEMO-GAMMA,120.00,CHF
2026-09-01,DEMO-ALPHA,101.00,CHF
2026-09-01,DEMO-BETA,79.50,CHF
2026-09-01,DEMO-GAMMA,120.50,CHF
2026-09-02,DEMO-ALPHA,100.50,CHF
2026-09-02,DEMO-BETA,80.50,CHF
2026-09-02,DEMO-GAMMA,121.00,CHF
2026-09-03,DEMO-ALPHA,102.00,CHF
2026-09-03,DEMO-BETA,81.00,CHF
2026-09-03,DEMO-GAMMA,120.00,CHF
2026-09-04,DEMO-ALPHA,103.00,CHF
2026-09-04,DEMO-BETA,,CHF
2026-09-04,DEMO-GAMMA,119.50,CHF
2026-09-07,DEMO-ALPHA,102.00,CHF
2026-09-07,DEMO-BETA,82.00,CHF
2026-09-07,DEMO-GAMMA,120.50,CHF
2026-09-08,DEMO-ALPHA,104.00,CHF
2026-09-08,DEMO-BETA,82.50,CHF
2026-09-08,DEMO-GAMMA,121.50,CHF
2026-09-09,DEMO-ALPHA,105.00,CHF
2026-09-09,DEMO-BETA,83.00,CHF
2026-09-09,DEMO-GAMMA,122.00,CHF
2026-09-10,DEMO-ALPHA,104.50,CHF
2026-09-10,DEMO-BETA,82.00,CHF
2026-09-10,DEMO-GAMMA,121.00,CHF
2026-09-11,DEMO-ALPHA,106.00,CHF
2026-09-11,DEMO-BETA,84.00,CHF
2026-09-11,DEMO-GAMMA,123.00,CHF
2026-09-14,DEMO-ALPHA,107.00,CHF
2026-09-14,DEMO-BETA,85.00,CHF
2026-09-14,DEMO-GAMMA,124.00,CHF
2026-09-15,DEMO-ALPHA,108.00,CHF
2026-09-15,DEMO-BETA,84.50,CHF
2026-09-15,DEMO-GAMMA,123.50,CHF
2026-09-16,DEMO-ALPHA,107.50,CHF
2026-09-16,DEMO-BETA,86.00,CHF
2026-09-16,DEMO-GAMMA,125.00,CHF
2026-09-17,DEMO-ALPHA,109.00,CHF
2026-09-17,DEMO-BETA,87.00,CHF
2026-09-17,DEMO-GAMMA,126.00,CHF
2026-09-18,DEMO-ALPHA,110.00,CHF
2026-09-18,DEMO-BETA,86.50,CHF
2026-09-18,DEMO-GAMMA,125.50,CHF
